"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","@regression1 Verify click on moved link succeffully","chromium","Wed Oct 29 13:29:34 ICT 2025","skipped","Wed Oct 29 13:29:34 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","0","@regression Verify add valid data","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Text Box Module","regression\elements\textBox.spec.js","",""
"","1","@regression Verify click on Not Found link succeffully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","0","@regression Verify edit with invalid email format","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@regression Verify input with invalid format email","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Text Box Module","regression\elements\textBox.spec.js","",""
"","0","@regression1 Verify click on created link succeffully","webkit","Wed Oct 29 13:29:34 ICT 2025","skipped","Wed Oct 29 13:29:34 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","0","@regression Verify click on home41tpo link succeffully","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","30613","@smoke Verify open the page and click on the link","firefox","Tue Oct 28 23:28:24 ICT 2025","passed","Tue Oct 28 23:28:55 ICT 2025","DEMOQA Links Module","smoke\elements\Links.spec.js","",""
"","18391","@regression1 Verify Unchecked check box successfully","firefox","Wed Oct 29 11:12:49 ICT 2025","passed","Wed Oct 29 11:13:07 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
"","0","@regression Verify empty textfield","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Text Box Module","regression\elements\textBox.spec.js","",""
"","37948","@regression Verify checked check box successfully","webkit","Tue Oct 28 19:52:00 ICT 2025","passed","Tue Oct 28 19:52:38 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
"","0","@regression Verify click on New Window button successfully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Browser Windows Module","regression\AWS\BrowserWindows.spec.js","",""
"","1","@regression1 Verify click on created link succeffully","firefox","Wed Oct 29 13:29:34 ICT 2025","skipped","Wed Oct 29 13:29:34 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","42107","@regression Verify click me button is working","webkit","Tue Oct 28 19:52:59 ICT 2025","failed","Tue Oct 28 19:53:41 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","0","@regression Verify click on no content link succeffully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","14013","@regression1 Verify Unchecked check box successfully","chromium","Wed Oct 29 11:12:56 ICT 2025","passed","Wed Oct 29 11:13:10 ICT 2025","DEMOQA Check Box Module","regression\elements\checkbox.spec.js","",""
